ID,Description,,MBTIStep,Category1,Script
100001,0단계 E성향 스크립트,,0,세이브,모험을 즐기는 마법사여
100002,1단계 E성향 스크립트,,1,세이브,환희의 미소를 띈 마법사여
100003,2단계 E성향 스크립트,,2,세이브,활동적이고 사교적인 마법사여
100004,0단계 I성향 스크립트,,0,세이브,모험을 즐기는 마법사여
100005,1단계 I성향 스크립트,,1,세이브,비밀스러운 마법사여
100006,2단계 I성향 스크립트,,2,세이브,신중하고 깊이있는 마법사여
100007,0단계 S성향 스크립트,,0,세이브,모험을 즐기는 마법사여
100008,1단계 S성향 스크립트,,1,세이브,가까운 세계를 쫓는 마법사여
100009,2단계 S성향 스크립트,,2,세이브,현실을 중시하는 마법사여
100010,0단계 N성향 스크립트,,0,세이브,모험을 즐기는 마법사여
100011,1단계 N성향 스크립트,,1,세이브,환상을 창조하는 마법사여
100012,2단계 N성향 스크립트,,2,세이브,미래를 꿈꾸는 마법사여
100013,0단계 F성향 스크립트,,0,세이브,모험을 즐기는 마법사여
100014,1단계 F성향 스크립트,,1,세이브,마음이 공명하는 마법사여
100015,2단계 F성향 스크립트,,2,세이브,인간적이고 자애로운 마법사여
100016,0단계 T성향 스크립트,,0,세이브,모험을 즐기는 마법사여
100017,1단계 T성향 스크립트,,1,세이브,마음에 얼음을 품은 마법사여
100018,2단계 T성향 스크립트,,2,세이브,잔혹하고 냉철한 마법사여
100019,0단계 J성향 스크립트,,0,세이브,모험을 즐기는 마법사여
100020,1단계 J성향 스크립트,,1,세이브,시간의 흐름을 조종하는 마법사여
100021,2단계 J성향 스크립트,,2,세이브,철투철미하고 철저한 마법사여
100022,0단계 P성향 스크립트,,0,세이브,모험을 즐기는 마법사여
100023,1단계 P성향 스크립트,,1,세이브,날개를 펴고 다니는 마법사여
100024,2단계 P성향 스크립트,,2,세이브,자유롭고 유연한 마법사여
100025,ESFP 결과 스크립트,,-1,최종결과,"ESFP 입니다. \n당신은 정령들의 슈퍼스타로, \n사교적이고 활동적인 \n자유로운 영혼을 가진 마법사입니다."
100026,ESFJ 결과 스크립트,,-1,최종결과,"ESFJ 입니다. \n당신은 사교적인 정령들의 외교관으로, \n타고난 협력자로서 동료애가 많고 \n친절하며 능동적인 마법사입니다."
100027,ESTP 결과 스크립트,,-1,최종결과,"ESTP 입니다. \n당신은 모험을 즐기는 수완 좋은 활동가로, \n사실적이고 관대하며 선입견이 별로 없는 \n개방적인 마법사입니다."
100028,ESTJ 결과 스크립트,,-1,최종결과,"ESTJ 입니다. \n당신은 엄격한 정령들의 관리자로, \n현실적, 구체적, 사실적이며 어떠한 활동을 조직화하고 \n주도해나가는 지도력이 있는 마법사입니다."
100029,ENFP 결과 스크립트,,-1,최종결과,"ENFP 입니다. \n당신은 발랄한 정령들의 활동가로, \n정열적이며 활기가 넘쳐 다양한 상상력을 \n발휘할 수 있는 마법사입니다."
100030,ENFJ 결과 스크립트,,-1,최종결과,"ENFJ 입니다. \n당신은 정령들의 선도자로, \n온화하고 적극적이며 책임감이 강하고 \n동정심이 많은 언변이 능숙한 마법사입니다."
100031,ENTP 결과 스크립트,,-1,최종결과,"ENTP 입니다. \n당신은 논쟁을 즐기는 정령들의 변론가로, \n마법의 본질을 파악하고 논리적으로 판단하는 데 \n능숙한 마법사입니다."
100032,ENTJ 결과 스크립트,,-1,최종결과,"ENTJ 입니다. \n당신은 타고난 정령들의 리더로, \n분석적이고 객관적으로 판단하여 \n정령들의 신뢰를 받는 마법사입니다."
100033,ISFP 결과 스크립트,,-1,최종결과,"ISFP 입니다. \n당신은 호기심 많은 정령들의 예술가로, \n다정하고 온화하여 정령들의 존경을 받는 \n성인군자형 마법사입니다."
100034,ISFJ 결과 스크립트,,-1,최종결과,"ISFJ 입니다. \n당신은 용감한 정령들의 수호자로, \n타인을 향한 연민과 동정심이 있으면서도 \n주변을 보호할 땐 가차없는 마법사입니다."
100035,ISTP 결과 스크립트,,-1,최종결과,"ISTP 입니다. \n당신은 정령들의 만능 재주꾼으로, \n과묵하고 절제된 호기심을 가지고 있으면서도 \n상황파악과 도구 다루는 능력이 뛰어난 마법사입니다."
100036,ISTJ 결과 스크립트,,-1,최종결과,"ISTJ 입니다. \n당신은 청렴결백한 정령들의 논리주의자로, \n사실에 대해 정확하고 체계적으로 기억하며 \n신중하고 책임감있는 마법사입니다."
100037,INFP 결과 스크립트,,-1,최종결과,"INFP 입니다. \n당신은 정령들의 중재자로, \n차분하고 창의적이며 낭만적인 성향을 보이는 \n내적신념이 깊은 마법사입니다."
100038,INFJ 결과 스크립트,,-1,최종결과,"INFJ 입니다. \n당신은 통찰력 있는 정령들의 선지자로, \n인내심이 많고 통찰력과 직관력이 뛰어나 \n존경받는 마법사입니다."
100039,INTP 결과 스크립트,,-1,최종결과,"INTP 입니다. \n당신은 정령들의 논리적인 사색가로, \n논리와 분석으로 문제를 해결하기 좋아하는 \n탁상공론형 마법사입니다."
100040,INTJ 결과 스크립트,,-1,최종결과,"INTJ 입니다. \n당신은 정령들의 용의주도한 전략가로, \n창의적이면서도 통찰력과 논리력, \n강한 의지를 지닌 마법사입니다."
